iter	Passed	Remaining
243	13829	552933
244	13888	552986
245	13955	553328
246	14020	553628
247	14076	553505
248	14135	553538
249	14189	553405
250	14239	553074
251	14291	552843
252	14353	552978
253	14406	552792
254	14463	552730
255	14514	552452
256	14566	552232
257	14617	551933
258	14664	551530
259	14727	551706
260	14786	551739
261	14835	551416
262	14888	551196
263	14939	550954
264	14989	550669
265	15053	550875
266	15110	550834
267	15164	550681
268	15221	550651
269	15276	550506
270	15328	550283
271	15390	550444
272	15442	550215
273	15494	550009
274	15550	549928
275	15602	549722
276	15658	549626
277	15712	549484
278	15764	549276
279	15825	549353
280	15877	549145
281	15930	548987
282	15982	548772
283	16040	548760
284	16102	548899
285	16154	548672
286	16211	548635
287	16276	548870
288	16329	548694
289	16386	548676
290	16438	548469
291	16488	548194
292	16538	547903
293	16592	547780
294	16645	547595
295	16700	547494
296	16758	547489
297	16815	547461
298	16871	547406
299	16933	547532
300	16986	547356
301	17037	547117
302	17091	546970
303	17147	546923
304	17206	546953
305	17262	546880
306	17311	546581
307	17361	546338
308	17413	546144
309	17472	546153
310	17530	546165
311	17584	546027
312	17643	546057
313	17703	546097
314	17760	546061
315	17820	546122
316	17874	545997
317	17922	545667
318	17974	545493
319	18031	545448
320	18092	545522
321	18143	545312
322	18201	545304
323	18254	545152
324	18309	545060
325	18365	544986
326	18428	545124
327	18486	545139
328	18543	545096
329	18595	544902
330	18647	544733
331	18709	544816
332	18769	544874
333	18821	544689
334	18866	544324
335	18917	544109
336	18976	544133
337	19027	543921
338	19081	543807
339	19136	543695
340	19194	543681
341	19248	543574
342	19296	543294
343	19348	543114
344	19401	542966
345	19459	542959
346	19517	542940
347	19575	542932
348	19624	542694
349	19673	542434
350	19727	542307
351	19779	542139
352	19834	542052
353	19880	541706
354	19936	541663
355	19984	541385
356	20034	541168
357	20093	541172
358	20151	541172
359	20203	540997
360	20259	540953
361	20310	540763
362	20372	540846
363	20430	540847
364	20490	540880
365	20542	540738
366	20593	540531
367	20645	540361
368	20696	540172
369	20747	539996
370	20798	539811
371	20849	539608
372	20901	539460
373	20960	539483
374	21011	539300
375	21064	539173
376	21114	538945
377	21172	538953
378	21221	538711
379	21278	538685
380	21333	538603
381	21388	538517
382	21444	538456
383	21499	538374
384	21550	538201
385	21610	538251
386	21657	537973
387	21719	538065
388	21772	537943
389	21826	537838
390	21880	537719
391	21936	537661
392	21991	537577
393	22051	537635
394	22103	537481
395	22157	537371
396	22207	537181
397	22262	537098
398	22315	536980
399	22368	536851
