iter	AUC	CrossEntropy
594	0.8152933717	0.4778923032
595	0.8153164387	0.4778474826
596	0.8153501153	0.4778015336
597	0.8153748512	0.4777531829
598	0.8154050708	0.477710272
599	0.815439254	0.4776603877
600	0.8154707551	0.4776133391
601	0.8154982924	0.4775754919
602	0.8155229092	0.4775414641
603	0.8155485988	0.477500463
604	0.8155747056	0.4774576968
605	0.8156106472	0.4774130208
606	0.8156322241	0.4773740741
607	0.8156651855	0.4773359954
608	0.8156895041	0.4773019387
609	0.8157193065	0.4772648727
610	0.8157534599	0.4772200231
611	0.8157813549	0.4771726852
612	0.8158088326	0.4771323495
613	0.8158436716	0.4770864294
614	0.8158741593	0.4770475116
615	0.8158977032	0.477012066
616	0.815920651	0.4769784722
617	0.8159477115	0.4769396123
618	0.8159815073	0.4768916667
619	0.8160145283	0.476849103
620	0.8160491586	0.4768035301
621	0.8160759211	0.4767652488
622	0.8161117435	0.4767183738
623	0.8161455989	0.4766694444
624	0.8161767125	0.4766326389
625	0.8162005544	0.476593316
626	0.8162356615	0.4765499711
627	0.8162609935	0.4765143808
628	0.8162956834	0.47647011
629	0.8163199425	0.476429919
630	0.816349566	0.4763815394
631	0.8163707852	0.4763472801
632	0.8163958788	0.4763100116
633	0.8164261878	0.4762731771
634	0.8164507151	0.4762324074
635	0.8164770603	0.4761877894
636	0.8165172338	0.476139728
637	0.8165493011	0.4760998843
638	0.8165664673	0.4760697049
639	0.8166004121	0.4760292535
640	0.8166179657	0.475996875
641	0.8166609108	0.4759497396
642	0.8166977763	0.4759048032
643	0.8167322278	0.4758637153
644	0.8167621493	0.4758190104
645	0.8167951405	0.4757793981
646	0.8168169856	0.4757466435
647	0.8168558478	0.4757008681
648	0.8168866634	0.4756597801
649	0.816917479	0.4756203414
650	0.8169383407	0.4755896701
651	0.816970259	0.4755510127
652	0.8170077801	0.4755076968
653	0.817029953	0.4754729745
654	0.8170590401	0.4754383681
655	0.8170915842	0.4754001447
656	0.8171207309	0.4753633681
657	0.817145288	0.4753289352
658	0.8171679378	0.4752962674
659	0.8172010183	0.4752567998
660	0.8172231317	0.4752195312
661	0.8172441125	0.4751891493
662	0.8172857463	0.4751349826
663	0.8173214197	0.4750935475
664	0.8173633814	0.4750464988
665	0.8173816204	0.4750151331
666	0.817414999	0.4749707755
667	0.8174484968	0.4749302083
668	0.8174797893	0.4748911458
669	0.8175036907	0.4748496817
670	0.817538321	0.4748082176
671	0.8175655603	0.4747723669
672	0.8176000118	0.474726765
673	0.8176212907	0.474685272
674	0.8176566958	0.4746450521
675	0.8176839948	0.4746046007
676	0.8177170753	0.4745664641
677	0.8177532554	0.4745259259
678	0.8177763224	0.4744911169
679	0.817818284	0.4744493056
680	0.8178566694	0.4744093461
681	0.8178863525	0.4743652488
682	0.8179223537	0.4743202546
683	0.8179539442	0.4742796586
684	0.8179752231	0.4742431134
685	0.8180013001	0.4742062211
686	0.8180283904	0.4741657407
687	0.8180600405	0.4741233796
688	0.818089366	0.4740865162
689	0.8181244135	0.4740478299
690	0.8181568384	0.4740072049
691	0.8181939721	0.4739678819
692	0.8182259798	0.4739324074
693	0.8182559609	0.4738986979
694	0.8182940781	0.4738562211
695	0.8183289468	0.4738183738
696	0.8183583617	0.473783912
697	0.8183832169	0.4737457176
698	0.8184124231	0.4737069155
699	0.818446964	0.47366386
700	0.8184719086	0.473633044
701	0.8185066879	0.4735904803
702	0.8185372949	0.4735558738
703	0.8185698986	0.47351739
704	0.8185969889	0.4734824363
705	0.8186154366	0.4734566551
706	0.8186448216	0.4734186053
707	0.8186724186	0.4733815394
708	0.8187030554	0.4733476852
709	0.8187224865	0.4733148727
710	0.8187512159	0.4732818866
711	0.8187762499	0.473248669
712	0.8188105226	0.4732110822
713	0.8188413382	0.4731765625
714	0.8188847005	0.4731315394
715	0.8189142346	0.4730947338
716	0.818939209	0.4730612269
717	0.8189749122	0.4730217303
718	0.8189955652	0.4729909144
719	0.819024384	0.4729543403
720	0.8190515935	0.4729164931
721	0.8190796971	0.4728787905
722	0.8191033602	0.4728460937
723	0.8191334903	0.4728123843
724	0.8191609383	0.4727736979
725	0.8191876411	0.4727422164
726	0.8192093074	0.4727122396
727	0.8192406893	0.4726770255
728	0.819278419	0.4726336227
729	0.8193083704	0.4726012731
730	0.8193454742	0.4725586806
731	0.8193733096	0.4725248553
